2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2,2,2,2,1,1,2,1,1,2,1,1,1
2,1,2,1,1,1,1,1,1,1,1,1,1
2,1,1,2,2,9,11,2,1,14,1,2,2
2,1,1,1,1,2,1,1,1,2,1,1,1
2,9,2,2,1,1,1,1,1,1,1,1,1
1,14,1,2,2,2,2,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,2,2,1,1,1,1,1,1,2
1,2,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,2,2,1,1,1,1,6,1
2,4,1,1,6,1,9,7,2,1,2,2,2
1,1,1,1,1,2,1,1,1,2,1,1,2
2,1,2,2,2,2,2,1,1,2,2,2,1
1,1,2,2,2,2,1,1,2,1,2,2,2
1,1,1,2,1,2,1,1,1,1,1,1,3
6,2,1,6,2,14,4,1,1,2,2,1,2
1,2,1,6,2,3,2,2,2,2,6,1,2
1,2,1,1,2,2,2,2,1,4,2,2,3
1,1,1,1,1,2,1,1,2,1,2,2,2
1,2,2,1,1,1,1,1,1,1,1,1,1
2,2,2,1,1,11,6,2,2,2,1,2,1
1,2,2,1,1,2,2,9,1,2,1,4,1
2,11,1,2,2,1,2,1,1,1,1,1,1
1,2,2,1,2,2,2,1,1,1,1,2,2
1,2,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,2
1,2,1,1,1,1,1,1,1,1,9,1,1
1,2,1,2,1,4,2,1,11,1,1,1,1
2,6,1,2,2,2,1,1,1,9,1,3,1
1,2,1,1,2,2,2,2,1,1,4,1,1
1,2,1,1,1,2,2,1,2,2,1,2,2
14,6,2,9,11,2,2,2,2,2,23,6,40
1,2,2,2,1,1,1,1,1,1,1,1,1
1,4,1,1,6,2,1,2,3,2,1,2,9
1,2,1,1,2,2,3,1,1,1,2,3,1
1,2,1,2,2,1,1,1,1,1,1,1,1
1,4,1,1,1,1,2,2,1,2,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1
1,3,1,1,1,1,1,1,1,1,1,3,1
2,4,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,9,1,1,1,1,1,1,1
1,2,1,9,1,1,1,1,1,1,1,1,1
1,2,1,2,2,1,2,1,2,2,1,2,2
2,2,2,1,1,2,2,1,1,1,2,2,2
1,2,1,1,1,1,1,1,1,1,1,1,1
1,1,2,1,1,2,2,2,1,1,2,2,2
1,1,2,2,1,9,11,2,3,2,4,6,9
1,1,2,2,2,2,2,1,1,2,2,2,3
1,1,2,1,1,1,1,1,1,1,1,1,1
1,2,2,1,1,1,1,1,1,1,1,1,1
1,1,6,1,1,2,1,2,1,2,1,6,1
1,1,2,1,1,1,1,1,1,2,1,11,2
1,1,2,2,1,1,1,1,1,1,1,1,1
2,1,2,1,2,2,2,1,2,2,2,2,2
1,1,2,2,1,1,1,1,2,1,2,1,1
1,1,2,1,1,1,1,1,1,1,1,1,1
1,1,4,2,2,4,6,1,2,1,1,2,3
1,1,6,2,2,3,6,2,2,1,6,1,2
1,1,2,1,1,14,1,1,1,1,1,1,1
1,1,2,1,1,1,1,1,1,1,1,1,1
1,1,2,1,1,1,2,1,1,1,1,6,2
1,1,9,1,2,14,1,1,1,1,2,1,1
1,1,2,2,1,1,1,2,1,9,2,1,2
1,1,2,2,1,1,1,1,1,1,1,1,1
2,1,2,1,1,2,2,2,2,2,1,1,1
2,1,2,1,1,2,2,2,1,2,1,2,2
1,1,2,1,1,1,1,1,1,1,1,1,1
1,1,2,1,1,2,2,2,2,14,1,1,1
1,1,2,1,2,2,2,2,2,2,2,1,1
1,2,2,1,2,2,2,1,6,1,2,1,2
1,1,2,2,1,2,11,1,1,1,1,2,13
1,1,2,1,1,1,1,1,1,1,1,1,1
2,2,2,1,2,1,1,2,1,2,1,2,2
1,1,1,2,1,1,1,1,1,1,1,1,1
2,1,1,2,2,1,1,1,1,1,1,2,2
1,1,1,2,1,6,9,1,1,11,1,3,2
2,1,1,2,1,2,2,1,1,2,2,2,2
1,1,1,2,1,2,1,1,1,1,1,1,1
1,1,1,2,1,2,6,1,2,2,1,6,1
2,4,1,2,1,2,1,1,9,2,2,1,11
1,1,1,2,2,1,1,1,1,1,1,1,1
1,1,1,2,1,1,2,2,2,1,1,1,1
1,1,1,2,1,1,1,1,1,2,1,1,1
1,1,1,2,1,2,1,6,2,3,1,1,2
1,2,1,2,1,2,2,1,2,2,2,1,1
2,1,1,2,2,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,1,1,2,1,2,2
1,1,1,2,1,1,2,1,1,1,1,1,1
1,1,1,2,1,1,1,2,1,1,1,2,1
1,1,2,2,2,2,2,1,2,2,2,2,2
1,1,1,2,1,2,1,1,1,1,1,1,6
1,1,1,2,2,2,1,1,1,1,1,1,1
1,1,1,6,1,1,2,1,1,1,2,2,1
2,4,2,4,1,2,4,1,1,2,2,3,1
1,1,2,2,1,2,1,1,1,2,1,1,1
1,1,1,2,1,1,1,1,1,1,1,1,1
1,2,1,2,2,2,2,2,2,2,2,2,2
1,1,1,4,1,2,1,2,2,1,1,1,1
1,1,1,2,1,1,1,1,1,1,2,1,2
1,1,1,2,1,1,1,1,1,1,1,9,14
1,1,1,2,1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,2,1,2,1,6,1,11
1,2,2,2,1,2,2,1,2,2,2,2,1
1,1,1,2,1,1,1,1,1,1,1,1,1
1,1,1,1,2,9,1,2,2,2,2,2,6
1,1,1,1,1,1,2,1,2,7,2,2,2
1,1,2,2,1,1,1,1,1,1,1,1,1
2,2,1,1,2,9,1,1,2,3,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1,1,2,4,1,9
1,1,1,1,1,2,2,2,2,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,2,1,1,1,2,2,1,9
1,1,1,1,1,2,1,1,1,2,2,1,1
1,1,1,1,1,1,2,1,1,1,1,1,1
1,1,1,1,2,9,6,2,2,2,2,2,2
1,1,1,1,1,1,2,1,1,2,2,2,2
1,1,2,2,2,2,1,2,1,1,1,1,1
1,1,1,1,2,4,1,2,2,2,2,1,2
1,1,1,1,2,2,2,1,2,1,2,1,2
1,1,1,1,2,2,1,1,2,1,2,1,1
1,1,1,1,2,1,4,1,1,1,1,1,1
2,1,1,1,2,2,9,1,1,9,2,2,2
1,1,1,1,2,2,1,1,1,1,1,1,1
1,1,1,1,2,2,2,2,2,3,5,2,1
1,1,1,1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,2,2,1,1,1,1,1,1
1,1,1,1,2,9,1,1,2,1,2,2,1
1,1,1,1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,2,1,1,1
1,1,1,1,1,2,2,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,1,2,1,1
1,1,1,1,1,2,2,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,2,1,1,1,1
1,1,1,1,1,2,1,1,1,1,2,1,1
1,1,1,1,2,2,2,1,1,1,2,1,2
1,1,1,1,1,2,2,1,2,1,2,3,2
1,1,1,1,1,2,1,1,1,2,1,1,6
1,1,1,1,1,2,1,1,2,1,1,1,2
1,1,1,1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,1,1,2,2
1,1,1,1,1,2,1,1,1,1,1,1,2
1,1,1,1,1,2,2,1,1,1,1,1,1
1,1,1,1,1,2,2,2,1,2,2,1,1
1,1,1,1,2,2,1,2,1,2,2,1,2
1,1,1,1,2,2,2,1,2,1,6,2,2
1,1,1,1,1,2,1,1,1,1,2,1,2
1,1,1,1,1,2,2,1,1,1,2,1,1
1,1,1,1,1,2,2,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,2,2,2,14,1
1,1,1,1,1,2,1,9,1,1,4,2,24
1,1,1,1,1,2,2,1,1,1,1,1,1
1,1,1,1,1,2,1,4,1,2,2,3,5
1,1,1,1,1,2,2,1,1,2,1,2,1
1,1,1,1,1,2,2,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,2,1,1,1
1,1,1,1,1,2,1,1,4,1,2,4,1
1,1,1,1,1,2,2,1,2,1,1,1,1
